thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.11)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.4969484000466764],['target'],0,0,0,0,0.029966099886223674,,5,0.022325299913063645,0.029966099886223674,0.029966099886223674,0.022344799945130944,1.5193187000695616,[np.float64(-0.11)],[np.float64(0.11833333333333333)],[1],[0],[0],[1.4969484000466764],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
1,0,1,[np.float64(-0.12666666666666668)],[np.float64(0.385)],[1],[0],[0],[1.4839727999642491],['target'],1,0,1,0,1.5440962000284344,,10,1.534884300082922,1.5440962000284344,1.5440962000284344,0.01548709999769926,3.01889989990741,[np.float64(-0.12666666666666668)],[np.float64(0.385)],[1],[0],[0],[1.4839727999642491],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
2,0,2,[np.float64(0.34833333333333333)],[np.float64(-0.13833333333333334)],[1],[0],[0],[1.8461553999222815],['target'],2,0,2,0,3.0369907000567764,,5,3.026910200016573,3.0369907000567764,3.0369907000567764,0.007915999973192811,4.8731039999984205,[np.float64(0.34833333333333333)],[np.float64(-0.13833333333333334)],[1],[0],[0],[1.8461553999222815],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
3,0,3,[np.float64(0.025)],[np.float64(-0.23166666666666666)],[1],[0],[0],[1.450131099903956],['target'],3,0,3,0,4.890938499942422,,5,4.881033299956471,4.890938499942422,4.890938499942422,0.00785699998959899,6.331207900075242,[np.float64(0.025)],[np.float64(-0.23166666666666666)],[1],[0],[0],[1.450131099903956],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
4,0,4,[np.float64(-0.37333333333333335)],[np.float64(0.38)],[1],[0],[0],[3.0745766998734325],['target'],4,0,4,0,6.356565699912608,,10,6.346767999930307,6.356565699912608,6.356565699912608,0.015487500000745058,9.421386200003326,[np.float64(-0.37333333333333335)],[np.float64(0.38)],[1],[0],[0],[3.0745766998734325],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
5,0,5,[np.float64(-0.20166666666666666)],[np.float64(-0.345)],[1],[0],[0],[1.9365402001421899],['target'],5,0,5,0,9.446771400049329,,10,9.436710800044239,9.446771400049329,9.446771400049329,0.015229000011458993,11.373291000025347,[np.float64(-0.20166666666666666)],[np.float64(-0.345)],[1],[0],[0],[1.9365402001421899],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
6,0,6,[np.float64(0.41833333333333333)],[np.float64(0.27666666666666667)],[1],[0],[0],[2.845477399881929],['target'],6,0,6,0,11.398015999933705,,10,11.388645200058818,11.398015999933705,11.398015999933705,0.015262099914252758,14.234177500009537,[np.float64(0.41833333333333333)],[np.float64(0.27666666666666667)],[1],[0],[0],[2.845477399881929],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
7,0,7,[np.float64(-0.23666666666666666)],[np.float64(0.49333333333333335)],[1],[0],[0],[2.1375353999901563],['target'],7,0,7,0,14.252521299989894,,5,14.242298000026494,14.252521299989894,14.252521299989894,0.00798569992184639,16.37987280008383,[np.float64(-0.23666666666666666)],[np.float64(0.49333333333333335)],[1],[0],[0],[2.1375353999901563],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
8,0,8,[np.float64(-0.185)],[np.float64(0.075)],[1],[0],[0],[1.6930661001242697],['target'],8,0,8,0,16.404757800046355,,10,16.39541990007274,16.404757800046355,16.404757800046355,0.015473600011318922,18.088524400023744,[np.float64(-0.185)],[np.float64(0.075)],[1],[0],[0],[1.6930661001242697],['target'],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
9,0,9,[np.float64(0.16333333333333333)],[np.float64(-0.011666666666666667)],[1],[0],[0],[1.6379124999511987],[None],9,0,9,0,18.10632780008018,,5,18.09642899991013,18.10632780008018,18.10632780008018,0.007810699986293912,19.734382699942216,[np.float64(0.16333333333333333)],[np.float64(-0.011666666666666667)],[1],[0],[0],[1.6379124999511987],[None],3,001,2025-10-01_15h49.01.168,untitled,,2025.1.1,143.7818653880359,2025-10-01 15h49.19.721322 +0530,
