thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.4033333333333333)],[np.float64(-0.20166666666666666)],[1],[0],[0],[2.108478199923411],['target'],0,0,0,0,0.025366900023072958,,5,0.016908299876376987,0.025366900023072958,0.025366900023072958,0.016929600154981017,2.1254240998532623,[np.float64(-0.4033333333333333)],[np.float64(-0.20166666666666666)],[1],[0],[0],[2.108478199923411],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
1,0,1,[np.float64(0.4866666666666667)],[np.float64(0.125)],[1],[0],[0],[1.850314399925992],['target'],1,0,1,0,2.157440399983898,,10,2.1423720999155194,2.157440399983898,2.157440399983898,0.016874599969014525,3.992723000003025,[np.float64(0.4866666666666667)],[np.float64(0.125)],[1],[0],[0],[1.850314399925992],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
2,0,2,[np.float64(0.08333333333333333)],[np.float64(0.16166666666666665)],[1],[0],[0],[1.4432212999090552],['target'],2,0,2,0,4.01829869998619,,10,4.0081567000597715,4.01829869998619,4.01829869998619,0.015346199972555041,5.451414699899033,[np.float64(0.08333333333333333)],[np.float64(0.16166666666666665)],[1],[0],[0],[1.4432212999090552],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
3,0,3,[np.float64(0.03166666666666667)],[np.float64(-0.42)],[1],[0],[0],[1.7569359000772238],['target'],3,0,3,0,5.469713999889791,,5,5.458835900062695,5.469713999889791,5.469713999889791,0.007329499814659357,7.215823499951512,[np.float64(0.03166666666666667)],[np.float64(-0.42)],[1],[0],[0],[1.7569359000772238],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
4,0,4,[np.float64(-0.25833333333333336)],[np.float64(0.185)],[1],[0],[0],[1.3659942001104355],['target'],4,0,4,0,7.240434400038794,,10,7.230889899889007,7.240434400038794,7.240434400038794,0.014992300188168883,8.596941799856722,[np.float64(-0.25833333333333336)],[np.float64(0.185)],[1],[0],[0],[1.3659942001104355],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
5,0,5,[np.float64(0.415)],[np.float64(-0.17166666666666666)],[1],[0],[0],[3.0545510000083596],['target'],5,0,5,0,8.621985399862751,,10,8.612073099939153,8.621985399862751,8.621985399862751,0.015008999966084957,11.666660299990326,[np.float64(0.415)],[np.float64(-0.17166666666666666)],[1],[0],[0],[3.0545510000083596],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
6,0,6,[np.float64(0.13166666666666665)],[np.float64(0.4116666666666667)],[1],[0],[0],[1.457258699927479],['target'],6,0,6,0,11.685285599902272,,5,11.675054799998179,11.685285599902272,11.685285599902272,0.00830129999667406,13.132352499989793,[np.float64(0.13166666666666665)],[np.float64(0.4116666666666667)],[1],[0],[0],[1.457258699927479],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
7,0,7,[np.float64(0.365)],[np.float64(0.2816666666666667)],[1],[0],[0],[1.3800237998366356],['target'],7,0,7,0,13.157233899924904,,10,13.147953300038353,13.157233899924904,13.157233899924904,0.015528199961408973,14.528010699898005,[np.float64(0.365)],[np.float64(0.2816666666666667)],[1],[0],[0],[1.3800237998366356],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
8,0,8,[np.float64(-0.3333333333333333)],[np.float64(0.29)],[1],[0],[0],[1.3179423999972641],[None],8,0,8,0,14.546311300015077,,5,14.53652219986543,14.546311300015077,14.546311300015077,0.008420099969953299,15.85450330004096,[np.float64(-0.3333333333333333)],[np.float64(0.29)],[1],[0],[0],[1.3179423999972641],[None],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
9,0,9,[np.float64(-0.45)],[np.float64(-0.17)],[1],[0],[0],[1.2692132000811398],['target'],9,0,9,0,15.8725376999937,,5,15.862632100004703,15.8725376999937,15.8725376999937,0.008052000077441335,17.131883699912578,[np.float64(-0.45)],[np.float64(-0.17)],[1],[0],[0],[1.2692132000811398],['target'],5,001,2025-10-01_16h04.59.819,untitled,,2025.1.1,144.11838448711455,2025-10-01 16h05.04.007905 +0530,
