reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,1.391457499936223,None,0,0,0,5,0.12283600005321205,,0.11300399992614985,0.12283600005321205,0.9920252999290824,0.9920252999290824,1.1170028001070023,2.4028366000857204,t,1.391457499936223,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,1,1,0,t,0.7615676000714302,None,0,1,1,0,2.416678700130433,,2.409129499923438,2.416678700130433,3.396188900107518,3.396188900107518,3.4102837999816984,4.160695800092071,t,0.7615676000714302,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,2,2,0,t,0.5103376999031752,None,0,2,2,3,4.178041500039399,,4.171046900097281,4.178041500039399,5.150728499982506,5.150728499982506,5.171606499934569,5.665149899898097,t,0.5103376999031752,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,3,3,0,t,0.399138999870047,None,0,3,3,1,5.674800100037828,,5.66975610004738,5.674800100037828,6.661215299973264,6.661215299973264,6.6682637999765575,7.064790799980983,t,0.399138999870047,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,4,4,0,l,0.35170140000991523,None,0,4,4,6,7.081803000066429,,7.071686200099066,7.081803000066429,8.05416990001686,8.05416990001686,8.07501900009811,8.408976499922574,l,0.35170140000991523,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,5,5,0,t,0.2822990999557078,None,0,5,5,2,8.426447100006044,,8.414505599997938,8.426447100006044,9.398094899952412,9.398094899952412,9.419163000071421,9.683860900113359,t,0.2822990999557078,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,6,6,0,t,2.6440969000104815,None,0,6,6,4,9.693761700065807,,9.68810150003992,9.693761700065807,10.680028599919751,10.680028599919751,10.687028700020164,13.32675340003334,t,2.6440969000104815,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,7,0,1,l,0.49479889986105263,None,1,0,7,2,13.335401999996975,,13.330427099950612,13.335401999996975,14.32189520006068,14.32189520006068,14.328960800077766,14.822474299930036,l,0.49479889986105263,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,8,1,1,t,0.28462280007079244,None,1,1,8,3,14.831984899938107,,14.826494700042531,14.831984899938107,15.927851499989629,15.927851499989629,15.940715899923816,16.219293399946764,t,0.28462280007079244,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,9,2,1,t,3.7340484000742435,None,1,2,9,0,16.228102799970657,,16.223656499991193,16.228102799970657,17.214633699972183,17.214633699972183,17.22157680010423,20.951119400095195,t,3.7340484000742435,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,10,3,1,l,0.37276910012587905,None,1,3,10,5,20.960579900071025,,20.95602530008182,20.960579900071025,21.94160549994558,21.94160549994558,21.955530300037935,22.31684929993935,l,0.37276910012587905,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,11,4,1,t,0.3336927001364529,None,1,4,11,6,22.32441040012054,,22.320423600031063,22.32441040012054,23.31056519993581,23.31056519993581,23.31772299995646,23.65121589996852,t,0.3336927001364529,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,12,5,1,l,0.2971134001854807,None,1,5,12,4,23.65949509991333,,23.65513759991154,23.65949509991333,24.646027199923992,24.646027199923992,24.653046400053427,24.945177600020543,l,0.2971134001854807,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,13,6,1,t,0.16834560013376176,None,1,6,13,1,24.954085800098255,,24.949225699994713,24.954085800098255,25.940487700048834,25.940487700048834,25.94824649998918,26.11443420010619,t,0.16834560013376176,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,14,0,2,l,0.3760307999327779,None,2,0,14,3,26.124318700050935,,26.119372100103647,26.124318700050935,27.110840199980885,27.110840199980885,27.11774679995142,27.49279970000498,l,0.3760307999327779,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,15,1,2,l,0.2520120001863688,None,2,1,15,2,27.501620100112632,,27.497109200106934,27.501620100112632,28.488242299994454,28.488242299994454,28.495175800053403,28.745470199966803,l,0.2520120001863688,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,16,2,2,l,0.3004778998438269,None,2,2,16,5,28.754301599925384,,28.749193999916315,28.754301599925384,29.740782900014892,29.740782900014892,29.747974199941382,30.046960199950263,l,0.3004778998438269,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,17,3,2,l,0.3452800000086427,None,2,3,17,0,30.05682580010034,,30.051653099944815,30.05682580010034,31.043255500029773,31.043255500029773,31.05018260003999,31.391075799940154,l,0.3452800000086427,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,18,4,2,l,0.3508986998349428,None,2,4,18,1,31.399996400112286,,31.39501229999587,31.399996400112286,32.38652250007726,32.38652250007726,32.39381100004539,32.74131159996614,l,0.3508986998349428,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,19,5,2,t,0.2526678000576794,None,2,5,19,6,32.74999530008063,,32.744957600021735,32.74999530008063,33.736254499992356,33.736254499992356,33.7432752000168,33.99374770000577,t,0.2526678000576794,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,20,6,2,l,0.14212059997953475,None,2,6,20,4,34.003056100104004,,33.998181600123644,34.003056100104004,34.98983499989845,34.98983499989845,34.99680719990283,35.13634159998037,l,0.14212059997953475,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,21,0,3,t,0.21113399998284876,None,3,0,21,6,35.14510959992185,,35.14016980002634,35.14510959992185,36.13158049993217,36.13158049993217,36.13835290004499,36.34738190006465,t,0.21113399998284876,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,22,1,3,t,0.08499750006012619,None,3,1,22,4,36.35679280012846,,36.351844399934635,36.35679280012846,37.33622399996966,37.33622399996966,37.35038869990967,37.42705260007642,t,0.08499750006012619,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,23,2,3,t,0.20504090003669262,None,3,2,23,2,37.43592600012198,,37.431149899959564,37.43592600012198,38.422344099963084,38.422344099963084,38.429383100010455,38.631403299979866,t,0.20504090003669262,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,24,3,3,l,0.10099219996482134,None,3,3,24,3,38.64028970012441,,38.63524720002897,38.64028970012441,39.626482099993154,39.626482099993154,39.63358290004544,39.731388800079,l,0.10099219996482134,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,25,4,3,l,0.14695960003882647,None,3,4,25,0,39.74084340012632,,39.73592139990069,39.74084340012632,40.727493999991566,40.727493999991566,40.734154199948534,40.88058550003916,l,0.14695960003882647,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,26,5,3,l,0.028237200109288096,None,3,5,26,5,40.889523900114,,40.88440280011855,40.889523900114,41.87574449996464,41.87574449996464,41.88292589993216,41.91129760001786,l,0.028237200109288096,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,27,6,3,l,0.5079305998515338,None,3,6,27,1,41.919898400083184,,41.91531409998424,41.919898400083184,42.90605330001563,42.90605330001563,42.91314149997197,43.420463599963114,l,0.5079305998515338,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,28,0,4,l,0.22634419985115528,None,4,0,28,1,43.42707460001111,,43.420755200088024,43.42707460001111,44.41320879990235,44.41320879990235,44.420194200007245,44.642932400107384,l,0.22634419985115528,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,29,1,4,t,0.2571671998593956,None,4,1,29,4,44.652364399982616,,44.64741130010225,44.652364399982616,45.63887619995512,45.63887619995512,45.64608000009321,45.89662840007804,t,0.2571671998593956,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,30,2,4,l,0.3013732999097556,None,4,2,30,5,45.90649789990857,,45.9007689000573,45.90649789990857,46.89300030004233,46.89300030004233,46.900304100010544,47.198856099974364,l,0.3013732999097556,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,31,3,4,t,0.43223870010115206,None,4,3,31,3,47.208536999998614,,47.20352600002661,47.208536999998614,48.190640399931,48.190640399931,48.20496389991604,48.629117199918255,t,0.43223870010115206,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,32,4,4,t,0.25058089988306165,None,4,4,32,6,48.63713030004874,,48.6332499999553,48.63713030004874,49.62368379998952,49.62368379998952,49.63068659999408,49.880795100005344,t,0.25058089988306165,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,33,5,4,t,0.31541469995863736,None,4,5,33,2,49.88826690008864,,49.88457609992474,49.88826690008864,50.87490350008011,50.87490350008011,50.88200569991022,51.19488879991695,t,0.31541469995863736,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,34,6,4,t,0.2748010999057442,None,4,6,34,0,51.202041500015184,,51.19809200009331,51.202041500015184,52.18858819990419,52.18858819990419,52.19556659995578,52.4665401999373,t,0.2748010999057442,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
78,80,162,35,0,5,l,0.35172179993242025,None,5,0,35,6,52.47464870009571,,52.470503400079906,52.47464870009571,53.46120769996196,53.46120769996196,53.46815329999663,53.81605160003528,l,0.35172179993242025,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,36,1,5,t,0.20081579987891018,None,5,1,36,3,53.82538800011389,,53.820266199996695,53.82538800011389,54.81174949998967,54.81174949998967,54.81870270008221,55.01371420011856,t,0.20081579987891018,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,37,2,5,l,0.3207801999524236,None,5,2,37,4,55.022477499907836,,55.01762400008738,55.022477499907836,56.008969200076535,56.008969200076535,56.015889999922365,56.33606419991702,l,0.3207801999524236,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,38,3,5,t,0.19048759993165731,None,5,3,38,1,56.344954600092024,,56.33991910004988,56.344954600092024,57.331372200045735,57.331372200045735,57.33836179994978,57.52642609993927,t,0.19048759993165731,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,39,4,5,l,0.28734349994920194,None,5,4,39,2,57.53537690010853,,57.53048720001243,57.53537690010853,58.5217566001229,58.5217566001229,58.52876919996925,58.814022599952295,l,0.28734349994920194,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,40,5,5,l,0.48930299980565906,None,5,5,40,5,58.822792700026184,,58.81795020005666,58.822792700026184,59.80956510012038,59.80956510012038,59.81640139990486,60.30359339993447,l,0.48930299980565906,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,41,6,5,l,0.0498794000595808,None,5,6,41,0,60.31269080005586,,60.307842599926516,60.31269080005586,61.299113699933514,61.299113699933514,61.30646200012416,61.35504569998011,l,0.0498794000595808,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
40,55,62,42,0,6,l,0.3771565998904407,None,6,0,42,3,61.36380730010569,,61.35909810010344,61.36380730010569,62.3502205000259,62.3502205000259,62.35714380000718,62.732677299994975,l,0.3771565998904407,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
49,60,89,43,1,6,l,0.1903359000571072,None,6,1,43,4,62.74235079996288,,62.73717189999297,62.74235079996288,63.72871050005779,63.72871050005779,63.7357900000643,63.92403899994679,l,0.1903359000571072,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
15,35,13,44,2,6,l,0.45618239999748766,None,6,2,44,1,63.93398299999535,,63.92846810002811,63.93398299999535,64.9200484000612,64.9200484000612,64.92719350010157,65.37921819998883,l,0.45618239999748766,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
67,75,119,45,3,6,l,0.25349869998171926,None,6,3,45,5,65.38823399995454,,65.38292320002802,65.38823399995454,66.3745744000189,66.3745744000189,66.38155240006745,66.63198850001208,l,0.25349869998171926,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
11,30,7,46,4,6,l,0.21213300013914704,None,6,4,46,0,66.64036979991943,,66.63649530010298,66.64036979991943,67.62729860004038,67.62729860004038,67.63458389998414,67.8432283999864,l,0.21213300013914704,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
27,50,21,47,5,6,l,0.09352200012654066,None,6,5,47,2,67.85318249999546,,67.8484781999141,67.85318249999546,68.83274849993177,68.83274849993177,68.84690920007415,68.93070530006662,l,0.09352200012654066,None,3,001,2025-11-03_13h07.41.049,untitled,,2025.1.1,71.88943396521826,2025-11-03 13h07.47.120379 +0530,
