pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.2447933999355882,None,0,0,0,0,,,,,0.046558900037780404,,0.029202000005170703,0.046558900037780404,1.0132124999072403,1.0132124999072403,1.0132124999072403,1.0132124999072403,1.0470108001027256,2.0136762999463826,2.0136762999463826,3.2737310000229627,x,1,1.2447933999355882,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
150,v,1,1,0,v,1,0.9363818999845535,None,0,1,1,1,,,,,3.2958619999699295,,3.2741332000587136,3.2958619999699295,4.279723699903116,4.279723699903116,4.279723699903116,4.279723699903116,4.296601300127804,5.2798349999357015,5.2798349999357015,6.2166722000110894,v,1,0.9363818999845535,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
50,c,2,2,0,c,1,0.7022565000224859,None,0,2,2,2,,,,,6.229812700068578,,6.21707129990682,6.229812700068578,7.22969019995071,7.22969019995071,7.22969019995071,7.22969019995071,7.22969019995071,8.229550499934703,8.229550499934703,8.933369900099933,c,1,0.7022565000224859,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
-150,z,3,3,0,z,1,0.3823567999061197,None,0,3,3,3,,,,,8.94653720012866,,8.93375249998644,8.94653720012866,9.94644679990597,9.94644679990597,9.94644679990597,9.94644679990597,9.94644679990597,10.947141600074247,10.947141600074247,11.333679199917242,z,1,0.3823567999061197,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
-50,x,4,0,1,x,1,0.49068990000523627,None,1,0,4,0,,,,,11.346483400091529,,11.334048500051722,11.346483400091529,12.3461518001277,12.3461518001277,12.3461518001277,12.3461518001277,12.3461518001277,13.345878999913111,13.345878999913111,13.850448600016534,x,1,0.49068990000523627,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
150,v,5,1,1,v,1,1.4483705000020564,None,1,1,5,1,,,,,13.863544899970293,,13.850942000048235,13.863544899970293,14.862959099933505,14.862959099933505,14.862959099933505,14.862959099933505,14.862959099933505,15.862612799974158,15.862612799974158,17.316989100072533,v,1,1.4483705000020564,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
50,c,6,2,1,c,1,2.2385360999032855,None,1,2,6,2,,,,,17.329148000106215,,17.31737000006251,17.329148000106215,18.32934239995666,18.32934239995666,18.32934239995666,18.32934239995666,18.32934239995666,19.329075400019065,19.329075400019065,21.583558599930257,c,1,2.2385360999032855,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
-150,z,7,3,1,z,1,0.7236540999729186,None,1,3,7,3,,,,,21.596166900126263,,21.583966300124303,21.596166900126263,22.595919700106606,22.595919700106606,22.595919700106606,22.595919700106606,22.595919700106606,23.595450999913737,23.595450999913737,24.333848499925807,z,1,0.7236540999729186,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
-50,x,8,0,2,x,1,1.5983585000503808,None,2,0,8,0,,,,,24.345267500029877,,24.334343099966645,24.345267500029877,25.345161200035363,25.345161200035363,25.345161200035363,25.345161200035363,25.345161200035363,26.345151599962264,26.345151599962264,27.949385199928656,x,1,1.5983585000503808,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
150,v,9,1,2,v,1,2.5412253998219967,None,2,1,9,1,,,,,27.96168139996007,,27.94978619995527,27.96168139996007,28.961958500090986,28.961958500090986,28.961958500090986,28.961958500090986,28.961958500090986,29.96192459994927,29.96192459994927,32.515341700054705,v,1,2.5412253998219967,None,,,,,3,001,2025-10-05_16h28.56.510,untitled,,2025.1.1,59.730805187843096,2025-10-05 16h29.03.876580 +0530,
