study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytest.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,0,0,0,1.9791666666666667,1.9664392999839038,,,,,,,,,,,,0,0,0,3,,,,,0.040039699990302324,,0.02420349995372817,0.040039699990302324,0.040039699990302324,2.0083500999608077,1.9791666666666667,1.9664392999839038,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Keys,1,1,0,1.9791666666666667,0.6944203999591991,,,,,,,,,,,,0,1,1,13,,,,,2.0225547999725677,,2.013468399993144,2.0225547999725677,2.0225547999725677,2.7244992000050843,1.9791666666666667,0.6944203999591991,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Case,2,2,0,1.9791666666666667,0.5309453000081703,,,,,,,,,,,,0,2,2,10,,,,,2.7402508999803104,,2.7266023999545723,2.7402508999803104,2.7402508999803104,3.273622999957297,1.9791666666666667,0.5309453000081703,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
T-shirt,3,3,0,1.9791666666666667,0.7641778000397608,,,,,,,,,,,,0,3,3,7,,,,,3.3062243000022136,,3.278015799995046,3.3062243000022136,3.3062243000022136,4.05811389995506,1.9791666666666667,0.7641778000397608,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
phone,4,4,0,1.9791666666666667,0.6800306999939494,,,,,,,,,,,,0,4,4,2,,,,,4.072823199967388,,4.061967499961611,4.072823199967388,4.072823199967388,4.756978799996432,1.9791666666666667,0.6800306999939494,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Laptop,5,5,0,1.9791666666666667,0.4477599000092596,,,,,,,,,,,,0,5,5,5,,,,,4.773524999967776,,4.759946200007107,4.773524999967776,4.773524999967776,5.223123999952804,1.9791666666666667,0.4477599000092596,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Chart,6,6,0,1.9791666666666667,0.18260010000085458,,,,,,,,,,,,0,6,6,6,,,,,5.240032400004566,,5.22495219996199,5.240032400004566,5.240032400004566,5.423221799952444,1.9791666666666667,0.18260010000085458,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Pastry,7,7,0,1.9791666666666667,0.146277200023178,,,,,,,,,,,,0,7,7,9,,,,,5.439868399989791,,5.42771979997633,5.439868399989791,5.439868399989791,5.590315199980978,1.9791666666666667,0.146277200023178,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Cruise,8,8,0,1.9791666666666667,0.1486163000226952,,,,,,,,,,,,0,8,8,11,,,,,5.606284699984826,,5.592225099971984,5.606284699984826,5.606284699984826,5.757389299978968,1.9791666666666667,0.1486163000226952,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Poster,9,9,0,1.9791666666666667,0.13205239997478202,,,,,,,,,,,,0,9,9,14,,,,,5.7726488999906,,5.759172199992463,5.7726488999906,5.7726488999906,5.9072031999821775,1.9791666666666667,0.13205239997478202,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
