study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytest.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,text_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,10,10,0,1.9791666666666667,0.131751999957487,,,,,,,,,,,,0,10,10,8,,,,,5.922638299991377,,5.909098099975381,5.922638299991377,5.922638299991377,6.058152699959464,1.9791666666666667,0.131751999957487,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
book,11,11,0,1.9791666666666667,0.1484797999728471,,,,,,,,,,,,0,11,11,0,,,,,6.073227799963206,,6.059867599979043,6.073227799963206,6.073227799963206,6.223289699992165,1.9791666666666667,0.1484797999728471,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Police,12,12,0,1.9791666666666667,0.19942429999355227,,,,,,,,,,,,0,12,12,12,,,,,6.239205699996091,,6.225151199963875,6.239205699996091,6.239205699996091,6.440333499980625,1.9791666666666667,0.19942429999355227,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
cushion,13,13,0,1.9791666666666667,0.5147180000203662,,,,,,,,,,,,0,13,13,1,,,,,6.456107699952554,,6.4425891999853775,6.456107699952554,6.456107699952554,6.973039700009394,1.9791666666666667,0.5147180000203662,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
board,14,14,0,1.9791666666666667,0.13070179999340326,,,,,,,,,,,,0,14,14,4,,,,,6.989263799972832,,6.9764893999672495,6.989263799972832,6.989263799972832,7.123321499966551,1.9791666666666667,0.13070179999340326,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Pastry,15,0,1,1.9791666666666667,0.16633849998470396,,,,,,,,,,,,1,0,15,9,,,,,7.139184799976647,,7.125355399970431,7.139184799976647,7.139184799976647,7.307058300008066,1.9791666666666667,0.16633849998470396,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
board,16,1,1,1.9791666666666667,0.16450459999032319,,,,,,,,,,,,1,1,16,4,,,,,7.323128699965309,,7.309466799953952,7.323128699965309,7.323128699965309,7.490305299987085,1.9791666666666667,0.16450459999032319,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Case,17,2,1,1.9791666666666667,0.14860630000475794,,,,,,,,,,,,1,2,17,10,,,,,7.507770899974275,,7.492047899984755,7.507770899974275,7.507770899974275,7.656553199980408,1.9791666666666667,0.14860630000475794,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
T-shirt,18,3,1,1.9791666666666667,0.18201759998919442,,,,,,,,,,,,1,3,18,7,,,,,7.673023299954366,,7.658492099959403,7.673023299954366,7.673023299954366,7.856369199987967,1.9791666666666667,0.18201759998919442,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Poster,19,4,1,1.9791666666666667,0.16627470002276823,,,,,,,,,,,,1,4,19,14,,,,,7.872886799974367,,7.858224699972197,7.872886799974367,7.872886799974367,8.04010990000097,1.9791666666666667,0.16627470002276823,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Police,20,5,1,1.9791666666666667,0.14893309999024495,,,,,,,,,,,,1,5,20,12,,,,,8.057441399956588,,8.041890599997714,8.057441399956588,8.057441399956588,8.207080099964514,1.9791666666666667,0.14893309999024495,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
cushion,21,6,1,1.9791666666666667,0.1500055999495089,,,,,,,,,,,,1,6,21,1,,,,,8.223872600006871,,8.20917859999463,8.223872600006871,8.223872600006871,8.373594700009562,1.9791666666666667,0.1500055999495089,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Keys,22,7,1,1.9791666666666667,0.1819715999881737,,,,,,,,,,,,1,7,22,13,,,,,8.389620499976445,,8.37529319996247,8.389620499976445,8.389620499976445,8.573025599995162,1.9791666666666667,0.1819715999881737,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Laptop,23,8,1,1.9791666666666667,0.14947280002525076,,,,,,,,,,,,1,8,23,5,,,,,8.589198299974669,,8.575681899965275,8.589198299974669,8.589198299974669,8.74080689996481,1.9791666666666667,0.14947280002525076,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Chart,24,9,1,1.9791666666666667,0.14898379996884614,,,,,,,,,,,,1,9,24,6,,,,,8.757239600003231,,8.742478300002404,8.757239600003231,8.757239600003231,8.908148399961647,1.9791666666666667,0.14898379996884614,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Cruise,25,10,1,1.9791666666666667,0.1476981000159867,,,,,,,,,,,,1,10,25,11,,,,,8.92350739997346,,8.910520899982657,8.92350739997346,8.92350739997346,9.07381329999771,1.9791666666666667,0.1476981000159867,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
marble,26,11,1,1.9791666666666667,0.18163730000378564,,,,,,,,,,,,1,11,26,3,,,,,9.089435499976389,,9.076030600001104,9.089435499976389,9.089435499976389,9.273108399997,1.9791666666666667,0.18163730000378564,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
phone,27,12,1,1.9791666666666667,0.18214350001653656,,,,,,,,,,,,1,12,27,2,,,,,9.28933609998785,,9.274793999968097,9.28933609998785,9.28933609998785,9.473287499975413,1.9791666666666667,0.18214350001653656,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
mouse,28,13,1,1.9791666666666667,0.1316151000210084,,,,,,,,,,,,1,13,28,8,,,,,9.489614599966444,,9.475282999977935,9.489614599966444,9.489614599966444,9.623621599981561,1.9791666666666667,0.1316151000210084,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
book,29,14,1,1.9791666666666667,0.1485748999984935,,,,,,,,,,,,1,14,29,0,,,,,9.640652499976568,,9.625774699961767,9.640652499976568,9.640652499976568,9.78952729998855,1.9791666666666667,0.1485748999984935,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
marble,30,0,2,1.9791666666666667,0.16634549997979775,,,,,,,,,,,,2,0,30,3,,,,,9.805999899981543,,9.7914895999711,9.805999899981543,9.805999899981543,9.97376089997124,1.9791666666666667,0.16634549997979775,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Chart,31,1,2,1.9791666666666667,0.13162269996246323,,,,,,,,,,,,2,1,31,6,,,,,9.98912929999642,,9.975668700004462,9.98912929999642,9.98912929999642,10.123295400000643,1.9791666666666667,0.13162269996246323,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
mouse,32,2,2,1.9791666666666667,0.1481035000178963,,,,,,,,,,,,2,2,32,8,,,,,10.139468299981672,,10.1252000000095,10.139468299981672,10.139468299981672,10.290462000004482,1.9791666666666667,0.1481035000178963,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Pastry,33,3,2,1.9791666666666667,0.13106580002931878,,,,,,,,,,,,2,3,33,9,,,,,10.306265299965162,,10.292883799993433,10.306265299965162,10.306265299965162,10.440150999987964,1.9791666666666667,0.13106580002931878,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Laptop,34,4,2,1.9791666666666667,0.16499780002050102,,,,,,,,,,,,2,4,34,5,,,,,10.456370699976105,,10.442055499996059,10.456370699976105,10.456370699976105,10.62344519997714,1.9791666666666667,0.16499780002050102,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Case,35,5,2,1.9791666666666667,0.148426300031133,,,,,,,,,,,,2,5,35,10,,,,,10.639685500005726,,10.625382700003684,10.639685500005726,10.639685500005726,10.793461099965498,1.9791666666666667,0.148426300031133,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
book,36,6,2,1.9791666666666667,0.16231570002855733,,,,,,,,,,,,2,6,36,0,,,,,10.805374599993229,,10.79517759999726,10.805374599993229,10.805374599993229,10.973109999962617,1.9791666666666667,0.16231570002855733,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
phone,37,7,2,1.9791666666666667,0.1657192000420764,,,,,,,,,,,,2,7,37,2,,,,,10.989521299954504,,10.974840499984566,10.989521299954504,10.989521299954504,11.157150499988347,1.9791666666666667,0.1657192000420764,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
board,38,8,2,1.9791666666666667,0.16521870001452044,,,,,,,,,,,,2,8,38,4,,,,,11.172884700004943,,11.159078399999999,11.172884700004943,11.172884700004943,11.339413499983493,1.9791666666666667,0.16521870001452044,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Cruise,39,9,2,1.9791666666666667,0.1329700000351295,,,,,,,,,,,,2,9,39,11,,,,,11.356280399952084,,11.34115589997964,11.356280399952084,11.356280399952084,11.48981709999498,1.9791666666666667,0.1329700000351295,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Keys,40,10,2,1.9791666666666667,0.16565039998386055,,,,,,,,,,,,2,10,40,13,,,,,11.505960099981166,,11.491454000002705,11.505960099981166,11.505960099981166,11.672887699969579,1.9791666666666667,0.16565039998386055,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Police,41,11,2,1.9791666666666667,0.19901320000644773,,,,,,,,,,,,2,11,41,12,,,,,11.688960300001781,,11.674753499974031,11.688960300001781,11.688960300001781,11.890382199955638,1.9791666666666667,0.19901320000644773,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
T-shirt,42,12,2,1.9791666666666667,0.26468239998212084,,,,,,,,,,,,2,12,42,7,,,,,11.905983799952082,,11.892510599980596,11.905983799952082,11.905983799952082,12.173522899975069,1.9791666666666667,0.26468239998212084,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Poster,43,13,2,1.9791666666666667,0.1802841000026092,,,,,,,,,,,,2,13,43,14,,,,,12.189322199963499,,12.176640799967572,12.189322199963499,12.189322199963499,12.373552099976223,1.9791666666666667,0.1802841000026092,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
cushion,44,14,2,1.9791666666666667,0.16838409996125847,,,,,,,,,,,,2,14,44,1,,,,,12.390072699985467,,12.375339899968822,12.390072699985467,12.390072699985467,12.556779999984428,1.9791666666666667,0.16838409996125847,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
marble,45,0,3,1.9791666666666667,0.21539580001262948,,,,,,,,,,,,3,0,45,3,,,,,12.572475799999665,,12.558546099986415,12.572475799999665,12.572475799999665,12.7896955999895,1.9791666666666667,0.21539580001262948,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Chart,46,1,3,1.9791666666666667,0.16584040003363043,,,,,,,,,,,,3,1,46,6,,,,,12.805896799953189,,12.79141529998742,12.805896799953189,12.805896799953189,12.97385349997785,1.9791666666666667,0.16584040003363043,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Cruise,47,2,3,1.9791666666666667,0.13149759999942034,,,,,,,,,,,,3,2,47,11,,,,,12.98894269997254,,12.97567049995996,12.98894269997254,12.98894269997254,13.12320999999065,1.9791666666666667,0.13149759999942034,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Laptop,48,3,3,1.9791666666666667,0.14789169997675344,,,,,,,,,,,,3,3,48,5,,,,,13.139287199999671,,13.12578579998808,13.139287199999671,13.139287199999671,13.289623999968171,1.9791666666666667,0.14789169997675344,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
phone,49,4,3,1.9791666666666667,0.3490385999903083,,,,,,,,,,,,3,4,49,2,,,,,13.3060928999912,,13.291885399958119,13.3060928999912,13.3060928999912,13.657065699982923,1.9791666666666667,0.3490385999903083,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
mouse,50,5,3,1.9791666666666667,0.21326059999410063,,,,,,,,,,,,3,5,50,8,,,,,13.67298709996976,,13.660282699973322,13.67298709996976,13.67298709996976,13.890176999964751,1.9791666666666667,0.21326059999410063,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Pastry,51,6,3,1.9791666666666667,0.26430889999028295,,,,,,,,,,,,3,6,51,9,,,,,13.906015799962915,,13.892730799969286,13.906015799962915,13.906015799962915,14.172736599983182,1.9791666666666667,0.26430889999028295,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
book,52,7,3,1.9791666666666667,0.1660717999911867,,,,,,,,,,,,3,7,52,0,,,,,14.189353899972048,,14.17436020000605,14.189353899972048,14.189353899972048,14.357813699985854,1.9791666666666667,0.1660717999911867,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Keys,53,8,3,1.9791666666666667,0.14784579997649416,,,,,,,,,,,,3,8,53,13,,,,,14.372358299966436,,14.359402399975806,14.372358299966436,14.372358299966436,14.523481699987315,1.9791666666666667,0.14784579997649416,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
board,54,9,3,1.9791666666666667,0.13201829994795844,,,,,,,,,,,,3,9,54,4,,,,,14.539703799993731,,14.525367299967911,14.539703799993731,14.539703799993731,14.673014700005297,1.9791666666666667,0.13201829994795844,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Police,55,10,3,1.9791666666666667,0.16625870001735166,,,,,,,,,,,,3,10,55,12,,,,,14.689442800008692,,14.674763199989684,14.689442800008692,14.689442800008692,14.856826299976092,1.9791666666666667,0.16625870001735166,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Case,56,11,3,1.9791666666666667,0.13163550000172108,,,,,,,,,,,,3,11,56,10,,,,,14.872633199964184,,14.858468199963681,14.872633199964184,14.872633199964184,15.0076468999614,1.9791666666666667,0.13163550000172108,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
T-shirt,57,12,3,1.9791666666666667,0.18021229997975752,,,,,,,,,,,,3,12,57,7,,,,,15.02255769999465,,15.00952669995604,15.02255769999465,15.02255769999465,15.206766799965408,1.9791666666666667,0.18021229997975752,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
cushion,58,13,3,1.9791666666666667,0.13209790003020316,,,,,,,,,,,,3,13,58,1,,,,,15.222647799993865,,15.208589499990921,15.222647799993865,15.222647799993865,15.358038300008047,1.9791666666666667,0.13209790003020316,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Poster,59,14,3,1.9791666666666667,0.14709569996921346,,,,,,,,,,,,3,14,59,14,,,,,15.372444699984044,,15.359969399985857,15.372444699984044,15.372444699984044,15.523303199966904,1.9791666666666667,0.14709569996921346,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Poster,60,0,4,1.9791666666666667,0.18244659999618307,,,,,,,,,,,,4,0,60,14,,,,,15.540639399958309,,15.524294999951962,15.540639399958309,15.540639399958309,15.723030399996787,1.9791666666666667,0.18244659999618307,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Police,61,1,4,1.9791666666666667,0.16545590001624078,,,,,,,,,,,,4,1,61,12,,,,,15.739528999954928,,15.724788599996828,15.739528999954928,15.739528999954928,15.905990200000815,1.9791666666666667,0.16545590001624078,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Keys,62,2,4,1.9791666666666667,0.16629429999738932,,,,,,,,,,,,4,2,62,13,,,,,15.922826899972279,,15.907622599974275,15.922826899972279,15.922826899972279,16.09103819995653,1.9791666666666667,0.16629429999738932,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Chart,63,3,4,1.9791666666666667,0.16424650000408292,,,,,,,,,,,,4,3,63,6,,,,,16.105676400009543,,16.092983899987303,16.105676400009543,16.105676400009543,16.273185199999716,1.9791666666666667,0.16424650000408292,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Pastry,64,4,4,1.9791666666666667,0.1652044000220485,,,,,,,,,,,,4,4,64,9,,,,,16.28910649998579,,16.27510639996035,16.28910649998579,16.28910649998579,16.456431999977212,1.9791666666666667,0.1652044000220485,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
marble,65,5,4,1.9791666666666667,0.13182880001841113,,,,,,,,,,,,4,5,65,3,,,,,16.472463299985975,,16.45836369995959,16.472463299985975,16.472463299985975,16.607598299975507,1.9791666666666667,0.13182880001841113,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Laptop,66,6,4,1.9791666666666667,0.18107779999263585,,,,,,,,,,,,4,6,66,5,,,,,16.62265269999625,,16.609342799987644,16.62265269999625,16.62265269999625,16.806466399983037,1.9791666666666667,0.18107779999263585,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
phone,67,7,4,1.9791666666666667,0.1651175000006333,,,,,,,,,,,,4,7,67,2,,,,,16.82240229996387,,16.808207399968524,16.82240229996387,16.82240229996387,16.989332099969033,1.9791666666666667,0.1651175000006333,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
Case,68,8,4,1.9791666666666667,0.1484492000308819,,,,,,,,,,,,4,8,68,10,,,,,17.005177499959245,,16.992121299961582,17.005177499959245,17.005177499959245,17.157275999954436,1.9791666666666667,0.1484492000308819,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
cushion,69,9,4,1.9791666666666667,0.16420539998216555,,,,,,,,,,,,4,9,69,1,,,,,17.17307439999422,,17.159192899998743,17.17307439999422,17.17307439999422,17.33933019998949,1.9791666666666667,0.16420539998216555,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
mouse,70,10,4,1.9791666666666667,0.1829905000049621,,,,,,,,,,,,4,10,70,8,,,,,17.355700899963267,,17.341397599957418,17.355700899963267,17.355700899963267,17.539774200005922,1.9791666666666667,0.1829905000049621,,,,,,,,,,,,,,,,1,001,2025-10-16_16h06.55.120,untitled,,2025.1.1,60.43030000649677,2025-10-16 16h06.59.979923 +0530,
