word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
RED,blue,I,b,9,1,2,b,1,0.38309970003319904,None,2,1,9,1,9.346159200009424,,,,,9.339769900019746,9.346159200009424,9.832449100038502,9.832449100038502,9.832449100038502,10.217870799999218,b,1,0.38309970003319904,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,red,C,r,10,2,2,r,1,0.4181401000241749,None,2,2,10,0,10.227931900008116,,,,,10.21853990003001,10.227931900008116,10.721745499991812,10.721745499991812,10.721745499991812,11.141646700038109,r,1,0.4181401000241749,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,red,I,r,11,3,2,r,1,0.35396490001585335,None,2,3,11,2,11.151691500039306,,,,,11.145159300009254,11.151691500039306,11.637948099989444,11.637948099989444,11.637948099989444,11.995877900044434,r,1,0.35396490001585335,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,red,I,r,12,0,3,r,1,0.3971305000013672,None,3,0,12,2,12.00581380003132,,,,,11.996412500040606,12.00581380003132,12.49206379998941,12.49206379998941,12.49206379998941,12.89180830004625,r,1,0.3971305000013672,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,blue,I,b,13,1,3,b,1,0.3771476999972947,None,3,1,13,1,12.901527000009082,,,,,12.89525830000639,12.901527000009082,13.394847800023854,13.394847800023854,13.394847800023854,13.773763000033796,b,1,0.3771476999972947,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,blue,C,b,14,2,3,b,1,0.3121847999864258,None,3,2,14,3,13.783501000027172,,,,,13.777379800041672,13.783501000027172,14.27674990001833,14.27674990001833,14.27674990001833,14.600055299990345,b,1,0.3121847999864258,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,red,C,r,15,3,3,r,1,0.3346107000252232,None,3,3,15,0,14.60983120003948,,,,,14.603649399999995,14.60983120003948,15.096218599996064,15.096218599996064,15.096218599996064,15.440003400028218,r,1,0.3346107000252232,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,blue,I,b,16,0,4,b,1,0.5386101999902166,None,4,0,16,1,15.45016490004491,,,,,15.440519199997652,15.45016490004491,15.943462199997157,15.943462199997157,15.943462199997157,16.48851920000743,b,1,0.5386101999902166,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,red,C,r,17,1,4,r,1,0.3424599000136368,None,4,1,17,0,16.498839600011706,,,,,16.489003200025763,16.498839600011706,16.992155000043567,16.992155000043567,16.992155000043567,17.342392400023527,r,1,0.3424599000136368,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,red,I,r,18,2,4,b,0,0.42139299999689683,None,4,2,18,2,17.353598600020632,,,,,17.34505960001843,17.353598600020632,17.84628870000597,17.84628870000597,17.84628870000597,18.28039140003966,b,0,0.42139299999689683,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,blue,C,b,19,3,4,b,1,0.4886566000059247,None,4,3,19,3,18.290462200006004,,,,,18.281007600016892,18.290462200006004,18.783689800009597,18.783689800009597,18.783689800009597,19.274897399998736,b,1,0.4886566000059247,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2750944000436,19.283822800032794,20.284571600030176,20.273769100022037,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
