word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.023682800005190074,0.034005000023171306,1.0021664000232704,,,,,,,,,,,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,red,I,r,0,0,0,r,1,0.7891711000120267,None,0,0,0,2,1.027104800043162,,,,,1.0195963000296615,1.027104800043162,1.5059954000171274,1.5059954000171274,1.5059954000171274,2.308846900006756,r,1,0.7891711000120267,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,blue,I,b,1,1,0,b,1,0.3153024999774061,None,0,1,1,1,2.325026600039564,,,,,2.3144295000238344,2.325026600039564,2.8046226000296883,2.8046226000296883,2.8046226000296883,3.127543200040236,b,1,0.3153024999774061,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,red,C,r,2,2,0,r,1,0.4650621999753639,None,0,2,2,0,3.137845400022343,,,,,3.128025600046385,3.137845400022343,3.6240669999970123,3.6240669999970123,3.6240669999970123,4.092774700024165,r,1,0.4650621999753639,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.36984170001232997,None,0,3,3,3,4.103038000001106,,,,,4.09621089999564,4.103038000001106,4.589344900043216,4.589344900043216,4.589344900043216,4.9674841000232846,b,1,0.36984170001232997,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,red,I,r,4,0,1,r,1,0.3908804999664426,None,1,0,4,2,4.978368500014767,,,,,4.967935100023169,4.978368500014767,5.464140700001735,5.464140700001735,5.464140700001735,5.85809860000154,r,1,0.3908804999664426,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,red,C,r,5,1,1,r,1,0.45480439998209476,None,1,1,5,0,5.866727699991316,,,,,5.861165100010112,5.866727699991316,6.360109900007956,6.360109900007956,6.360109900007956,6.815526299993508,r,1,0.45480439998209476,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.29590809997171164,None,1,2,6,3,6.825584500038531,,,,,6.819936599989887,6.825584500038531,7.325492900039535,7.325492900039535,7.325492900039535,7.648330299998634,b,1,0.29590809997171164,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
RED,blue,I,b,7,3,1,b,1,0.260722299979534,None,1,3,7,1,7.673096699989401,,,,,7.651401800045278,7.673096699989401,8.152456900046673,8.152456900046673,8.152456900046673,8.41972430003807,b,1,0.260722299979534,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.4071209999965504,None,2,0,8,3,8.42960979999043,,,,,8.423446900036652,8.42960979999043,8.915745600010268,8.915745600010268,8.915745600010268,9.336402000044473,b,1,0.4071209999965504,None,,,,,3,001,2025-08-24_18h26.19.144,stroop,,2025.1.1,None,2025-08-24 18h26.25.683965 +0530,
