thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.013333333333333334)],[np.float64(0.48833333333333334)],[1],[0],[0],[4.045823600143194],['target'],0,0,0,0,0.025555900065228343,,5,0.01903590001165867,0.025555900065228343,0.025555900065228343,0.019054400036111474,4.0649093999527395,[np.float64(0.013333333333333334)],[np.float64(0.48833333333333334)],[1],[0],[0],[4.045823600143194],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
1,0,1,[np.float64(0.48333333333333334)],[np.float64(-0.16833333333333333)],[1],[0],[0],[2.1709536998532712],['target'],1,0,1,0,4.082134699914604,,5,4.073049400001764,4.082134699914604,4.082134699914604,0.008055200101807714,6.244046499952674,[np.float64(0.48333333333333334)],[np.float64(-0.16833333333333333)],[1],[0],[0],[2.1709536998532712],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
2,0,2,[np.float64(-0.018333333333333333)],[np.float64(-0.18833333333333332)],[1],[0],[0],[5.526843900093809],['target'],2,0,2,0,6.2695454999338835,,10,6.259093799861148,6.2695454999338835,6.2695454999338835,0.014968600124120712,11.785974300000817,[np.float64(-0.018333333333333333)],[np.float64(-0.18833333333333332)],[1],[0],[0],[5.526843900093809],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
3,0,3,[np.float64(0.03)],[np.float64(-0.305)],[1],[0],[0],[2.0270248998422176],['target'],3,0,3,0,11.811261199880391,,10,11.800791299901903,11.811261199880391,11.811261199880391,0.014724000124260783,13.82785449991934,[np.float64(0.03)],[np.float64(-0.305)],[1],[0],[0],[2.0270248998422176],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
4,0,4,[np.float64(-0.3283333333333333)],[np.float64(0.47833333333333333)],[1],[0],[0],[3.4086955001112074],['target'],4,0,4,0,13.84586440003477,,5,13.835931699955836,13.84586440003477,13.84586440003477,0.007984699914231896,17.24467569985427,[np.float64(-0.3283333333333333)],[np.float64(0.47833333333333333)],[1],[0],[0],[3.4086955001112074],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
5,0,5,[np.float64(-0.325)],[np.float64(0.195)],[1],[0],[0],[1.8986954998690635],['target'],5,0,5,0,17.276455299928784,,10,17.262285799952224,17.276455299928784,17.276455299928784,0.01753930002450943,19.16101559996605,[np.float64(-0.325)],[np.float64(0.195)],[1],[0],[0],[1.8986954998690635],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
6,0,6,[np.float64(-0.23833333333333334)],[np.float64(-0.48333333333333334)],[1],[0],[0],[5.9217246999032795],['target'],6,0,6,0,19.17905050003901,,5,19.170090100029483,19.17905050003901,19.17905050003901,0.008981100050732493,25.091854400001466,[np.float64(-0.23833333333333334)],[np.float64(-0.48333333333333334)],[1],[0],[0],[5.9217246999032795],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
7,0,7,[np.float64(-0.165)],[np.float64(-0.41333333333333333)],[1],[0],[0],[2.540481199976057],['target'],7,0,7,0,25.109965299954638,,5,25.099572699982673,25.109965299954638,25.109965299954638,0.007643099874258041,27.64009239990264,[np.float64(-0.165)],[np.float64(-0.41333333333333333)],[1],[0],[0],[2.540481199976057],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
8,0,8,[np.float64(0.485)],[np.float64(0.043333333333333335)],[1],[0],[0],[3.8666954000946134],['target'],8,0,8,0,27.665507700061426,,10,27.655063200043514,27.665507700061426,27.665507700061426,0.014896400040015578,31.521796900080517,[np.float64(0.485)],[np.float64(0.043333333333333335)],[1],[0],[0],[3.8666954000946134],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
9,0,9,[np.float64(-0.46166666666666667)],[np.float64(-0.31833333333333336)],[1],[0],[0],[2.7971554999239743],['target'],9,0,9,0,31.540327199967578,,5,31.530196599895135,31.540327199967578,31.540327199967578,0.008305200142785907,34.327395000029355,[np.float64(-0.46166666666666667)],[np.float64(-0.31833333333333336)],[1],[0],[0],[2.7971554999239743],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
10,0,10,[np.float64(0.42)],[np.float64(-0.04833333333333333)],[1],[0],[0],[2.443470099940896],['target'],10,0,10,0,34.34552219999023,,5,34.33515239995904,34.34552219999023,34.34552219999023,0.007679899921640754,36.77866189996712,[np.float64(0.42)],[np.float64(-0.04833333333333333)],[1],[0],[0],[2.443470099940896],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
11,0,11,[np.float64(0.15166666666666667)],[np.float64(-0.43)],[1],[0],[0],[3.3470648999791592],['target'],11,0,11,0,36.80379049992189,,10,36.79355109995231,36.80379049992189,36.80379049992189,0.014814099995419383,40.140658600023016,[np.float64(0.15166666666666667)],[np.float64(-0.43)],[1],[0],[0],[3.3470648999791592],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
12,0,12,[np.float64(0.365)],[np.float64(-0.3883333333333333)],[1],[0],[0],[2.3041244000196457],['target'],12,0,12,0,40.165613000048324,,10,40.155505399918184,40.165613000048324,40.165613000048324,0.014757299795746803,42.459668199997395,[np.float64(0.365)],[np.float64(-0.3883333333333333)],[1],[0],[0],[2.3041244000196457],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
13,0,13,[np.float64(0.49333333333333335)],[np.float64(0.20333333333333334)],[1],[0],[0],[2.4918428999371827],['target'],13,0,13,0,42.4777220999822,,5,42.467378499917686,42.4777220999822,42.4777220999822,0.007618699921295047,44.959263199940324,[np.float64(0.49333333333333335)],[np.float64(0.20333333333333334)],[1],[0],[0],[2.4918428999371827],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
14,0,14,[np.float64(-0.4766666666666667)],[np.float64(0.29)],[1],[0],[0],[3.31805990007706],['target'],14,0,14,0,44.98501980002038,,10,44.974547900026664,44.98501980002038,44.98501980002038,0.015212399885058403,48.29264899995178,[np.float64(-0.4766666666666667)],[np.float64(0.29)],[1],[0],[0],[3.31805990007706],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
15,0,15,[np.float64(-0.35833333333333334)],[np.float64(-0.325)],[1],[0],[0],[2.346830799942836],['target'],15,0,15,0,48.31830050004646,,10,48.30738170002587,48.31830050004646,48.31830050004646,0.014642600202932954,50.654253700049594,[np.float64(-0.35833333333333334)],[np.float64(-0.325)],[1],[0],[0],[2.346830799942836],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
16,0,16,[np.float64(0.12)],[np.float64(-0.21)],[1],[0],[0],[5.748431700048968],['target'],16,0,16,0,50.679048999911174,,10,50.668898900039494,50.679048999911174,50.679048999911174,0.014555699890479445,56.41737179993652,[np.float64(0.12)],[np.float64(-0.21)],[1],[0],[0],[5.748431700048968],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
17,0,17,[np.float64(-0.18833333333333332)],[np.float64(-0.475)],[1],[0],[0],[2.6663180999457836],['target'],17,0,17,0,56.442694399971515,,10,56.43226639996283,56.442694399971515,56.442694399971515,0.014805099926888943,59.09862369997427,[np.float64(-0.18833333333333332)],[np.float64(-0.475)],[1],[0],[0],[2.6663180999457836],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
18,0,18,[np.float64(-0.33)],[np.float64(-0.08333333333333333)],[1],[0],[0],[2.0331162000074983],['target'],18,0,18,0,59.12369260005653,,10,59.11359700001776,59.12369260005653,59.12369260005653,0.01488300017081201,61.146751099964604,[np.float64(-0.33)],[np.float64(-0.08333333333333333)],[1],[0],[0],[2.0331162000074983],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
19,0,19,[np.float64(0.25666666666666665)],[np.float64(0.28)],[1],[0],[0],[2.2356330000329763],['target'],19,0,19,0,61.16488879988901,,5,61.154266899917275,61.16488879988901,61.16488879988901,0.007426500087603927,63.38994130003266,[np.float64(0.25666666666666665)],[np.float64(0.28)],[1],[0],[0],[2.2356330000329763],['target'],1,001,2025-10-01_15h21.48.880,untitled,,2025.1.1,145.32665805520992,2025-10-01 15h21.53.583996 +0530,
