word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,text_3.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.019490099977701902,0.028768699965439737,1.0057131999637932,,,,,,,,,,,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,red,I,r,0,0,0,r,1,0.5512893000268377,None,0,0,0,2,1.027711000002455,,,,,1.0227019999874756,1.027711000002455,1.5078246999764815,1.5078246999764815,1.5078246999764815,2.0746362999780104,r,1,0.5512893000268377,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,red,C,r,1,1,0,r,1,0.38436570001067594,None,0,1,1,0,2.0908006000099704,,,,,2.0808781000087038,2.0908006000099704,2.5779663999564946,2.5779663999564946,2.5779663999564946,2.9627659000107087,r,1,0.38436570001067594,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,blue,I,b,2,2,0,b,1,0.38559399999212474,None,0,2,2,1,2.973173599981237,,,,,2.963454599957913,2.973173599981237,3.459021999966353,3.459021999966353,3.459021999966353,3.8516795999603346,b,1,0.38559399999212474,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.3448251000372693,None,0,3,3,3,3.8618786999722943,,,,,3.8558373999549076,3.8618786999722943,4.3480774000054225,4.3480774000054225,4.3480774000054225,4.705804699973669,b,1,0.3448251000372693,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,red,C,r,4,0,1,r,1,0.28282579994993284,None,1,0,4,0,4.716048699978273,,,,,4.708974100009073,4.716048699978273,5.202172699966468,5.202172699966468,5.202172699966468,5.497600400005467,r,1,0.28282579994993284,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,red,I,r,5,1,1,r,1,0.4029329000040889,None,1,1,5,2,5.507625999976881,,,,,5.500767599965911,5.507625999976881,6.000892199983355,6.000892199983355,6.000892199983355,6.414038699993398,r,1,0.4029329000040889,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,blue,I,b,6,2,1,b,1,0.3113558000186458,None,1,2,6,1,6.424147499958053,,,,,6.417394699994475,6.424147499958053,6.910406299983151,6.910406299983151,6.910406299983151,7.2336796000017785,b,1,0.3113558000186458,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.4103822999750264,None,1,3,7,3,7.243744199979119,,,,,7.237245799973607,7.243744199979119,7.736906999954954,7.736906999954954,7.736906999954954,8.1508138999925,b,1,0.4103822999750264,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,red,C,r,8,0,2,r,1,0.3384225000045262,None,2,0,8,0,8.160668199998327,,,,,8.15500540001085,8.160668199998327,8.660649799974635,8.660649799974635,8.660649799974635,9.011575799959246,r,1,0.3384225000045262,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,blue,I,b,9,1,2,b,1,0.6813155999989249,None,2,1,9,1,9.021359300008044,,,,,9.012146399996709,9.021359300008044,9.514712599979248,9.514712599979248,9.514712599979248,10.205754700000398,b,1,0.6813155999989249,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,blue,C,b,10,2,2,b,1,0.33189329999731854,None,2,2,10,3,10.216032399970572,,,,,10.209084499976598,10.216032399970572,10.702197299979161,10.702197299979161,10.702197299979161,11.046236299967859,b,1,0.33189329999731854,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,red,I,r,11,3,2,r,1,0.3638809999683872,None,2,3,11,2,11.056427199975587,,,,,11.046933599980548,11.056427199975587,11.542489399958868,11.542489399958868,11.542489399958868,11.908540999982506,r,1,0.3638809999683872,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,red,C,r,12,0,3,r,1,0.7059136999887414,None,3,0,12,0,11.917276899970602,,,,,11.912156799982768,11.917276899970602,12.417504699958954,12.417504699958954,12.417504699958954,13.130603300000075,r,1,0.7059136999887414,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
RED,blue,I,b,13,1,3,b,1,0.7180715000140481,None,3,1,13,1,13.139369899989106,,,,,13.131342299981043,13.139369899989106,13.632910999993328,13.632910999993328,13.632910999993328,14.351854799955618,b,1,0.7180715000140481,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,red,I,r,14,2,3,r,1,0.9520807000226341,None,3,2,14,2,14.362013500009198,,,,,14.35584849998122,14.362013500009198,14.86199399997713,14.86199399997713,14.86199399997713,15.818812799989246,r,1,0.9520807000226341,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,blue,C,b,15,3,3,b,1,0.5875484999851324,None,3,3,15,3,15.827096699969843,,,,,15.819836599985138,15.827096699969843,16.32721729995683,16.32721729995683,16.32721729995683,16.927975400001742,b,1,0.5875484999851324,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,red,I,r,16,0,4,r,1,0.8408150999457575,None,4,0,16,2,16.93826079997234,,,,,16.928574699966703,16.93826079997234,17.431364199961536,17.431364199961536,17.431364199961536,18.27524230000563,r,1,0.8408150999457575,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
BLUE,blue,C,b,17,1,4,b,1,0.535276899987366,None,4,1,17,3,18.285537799994927,,,,,18.27581779996399,18.285537799994927,18.771567299962044,18.771567299962044,18.771567299962044,19.31029049999779,b,1,0.535276899987366,None,,,,,4,001,2025-08-24_18h26.57.692,stroop,,2025.1.1,None,2025-08-24 18h27.04.857526 +0530,
