word,word_type,color,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instr_text.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,word_stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.011019300029147416,0.02521540003363043,2.011562200030312,,,,,,,,,,,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Abuse,emotional,red,C,r,0,0,0,r,1,0.7456779999774881,None,0,0,0,4,2.058383900031913,,,,,2.037239800032694,2.058383900031913,2.507793400029186,2.507793400029186,2.507793400029186,3.2618693000404164,r,1,0.7456779999774881,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Table,neutral,blue,I,b,1,1,0,b,1,0.9962429999723099,None,0,1,1,13,3.2750816000043415,,,,,3.264796900039073,3.2750816000043415,3.774302000005264,3.774302000005264,3.774302000005264,4.77851220004959,b,1,0.9962429999723099,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Pencil,neutral,green,I,g,2,2,0,g,1,1.046621799992863,None,0,2,2,14,4.790929800015874,,,,,4.781372400000691,4.790929800015874,5.29122680000728,5.29122680000728,5.29122680000728,6.3451101000537165,g,1,1.046621799992863,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Chair,neutral,green,I,g,3,3,0,g,1,0.4848557999939658,None,0,3,3,10,6.357564400008414,,,,,6.348206399998162,6.357564400008414,6.857322600029875,6.857322600029875,6.857322600029875,7.344598199997563,g,1,0.4848557999939658,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Window,neutral,red,I,r,4,4,0,r,1,0.6204593000002205,None,0,4,4,12,7.357158600003459,,,,,7.347378200036474,7.357158600003459,7.857733300013933,7.857733300013933,7.857733300013933,8.494381900003646,r,1,0.6204593000002205,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Bottle,neutral,yellow,I,y,5,5,0,y,1,1.1223521999781951,None,0,5,5,11,8.507604400045238,,,,,8.497140999999829,8.507604400045238,9.007280200021341,9.007280200021341,9.007280200021341,10.14526310004294,y,1,1.1223521999781951,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Death,emotional,green,I,g,6,6,0,g,1,0.7013963999925181,None,0,6,6,2,10.158180800033733,,,,,10.150754700007383,10.158180800033733,10.65825620002579,10.65825620002579,10.65825620002579,11.361538800003473,g,1,0.7013963999925181,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Road,neutral,green,I,g,7,7,0,g,1,0.4943236999679357,None,0,7,7,18,11.374901100003626,,,,,11.364210800034925,11.374901100003626,11.874432800046634,11.874432800046634,11.874432800046634,12.377201700001024,g,1,0.4943236999679357,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Garden,neutral,red,I,r,8,8,0,r,1,0.5632112000021152,None,0,8,8,16,12.39065750001464,,,,,12.379848000011407,12.39065750001464,12.890671400004067,12.890671400004067,12.890671400004067,13.46160190005321,r,1,0.5632112000021152,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Sadness,emotional,yellow,I,y,9,9,0,y,1,1.5177835999638774,None,0,9,9,7,13.474130700051319,,,,,13.464477000001352,13.474130700051319,13.974412300041877,13.974412300041877,13.974412300041877,15.49662630003877,y,1,1.5177835999638774,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Book,neutral,blue,I,b,10,10,0,b,1,1.3733798999455757,None,0,10,10,17,15.507264300016686,,,,,15.499956400017254,15.507264300016686,16.00739430001704,16.00739430001704,16.00739430001704,17.393981100001838,b,1,1.3733798999455757,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Pain,emotional,blue,I,b,11,11,0,b,1,0.4501877000438981,None,0,11,11,1,17.406958400039002,,,,,17.39658550004242,17.406958400039002,17.907528300012928,17.907528300012928,17.907528300012928,18.36144820001209,b,1,0.4501877000438981,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Stone,neutral,yellow,I,y,12,12,0,y,1,0.7620220999815501,None,0,12,12,19,18.37414390000049,,,,,18.36501250002766,18.37414390000049,18.873332300048787,18.873332300048787,18.873332300048787,19.644725500023924,y,1,0.7620220999815501,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Violence,emotional,blue,I,b,13,13,0,b,1,0.7170477999607101,None,0,13,13,9,19.65681220003171,,,,,19.650540000002366,19.65681220003171,20.157730100036133,20.157730100036133,20.157730100036133,20.87832519999938,b,1,0.7170477999607101,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Panic,emotional,yellow,I,y,14,14,0,y,1,1.4174704999895766,None,0,14,14,3,20.890314400021452,,,,,20.881119700032286,20.890314400021452,21.390063700033352,21.390063700033352,21.390063700033352,22.810511000046972,y,1,1.4174704999895766,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Fear,emotional,red,C,r,15,15,0,r,1,0.739020699984394,None,0,15,15,0,22.82323980005458,,,,,22.816054399998393,22.82323980005458,23.323702400026377,23.323702400026377,23.323702400026377,24.077828600013163,r,1,0.739020699984394,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Paper,neutral,yellow,I,y,16,16,0,y,1,0.4001453000237234,None,0,16,16,15,24.0902885000105,,,,,24.08049530000426,24.0902885000105,24.5909506000462,24.5909506000462,24.5909506000462,24.99502970004687,y,1,0.4001453000237234,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Injury,emotional,green,I,g,17,17,0,g,1,0.7113013000343926,None,0,17,17,6,25.02264360000845,,,,,25.001297300041188,25.02264360000845,25.507041200005915,25.507041200005915,25.507041200005915,26.23026760003995,g,1,0.7113013000343926,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
Threat,emotional,blue,I,b,18,18,0,b,1,0.5525618999963626,None,0,18,18,5,26.256112100032624,,,,,26.23486500000581,26.256112100032624,26.739777900045738,26.739777900045738,26.739777900045738,27.295264700020198,b,1,0.5525618999963626,None,,,,,3,001,2025-11-18_20h25.15.667,emotional stroop_untitled,,2025.1.1,60.12451788676241,2025-11-18 20h25.20.723610 +0530,
