thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.265)],[np.float64(0.4116666666666667)],[1],[0],[0],[2.11481780000031],['target'],0,0,0,0,0.02664100006222725,,5,0.01924589998088777,0.02664100006222725,0.02664100006222725,0.019264200003817677,2.13410809985362,[np.float64(-0.265)],[np.float64(0.4116666666666667)],[1],[0],[0],[2.11481780000031],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
1,0,1,[np.float64(-0.035)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.574696599971503],['target'],1,0,1,0,2.1522747999988496,,5,2.142556899925694,2.1522747999988496,2.1522747999988496,0.008367399917915463,3.71730999997817,[np.float64(-0.035)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.574696599971503],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
2,0,2,[np.float64(-0.31333333333333335)],[np.float64(0.09166666666666666)],[1],[0],[0],[3.1400136000011116],['target'],2,0,2,0,3.79174799984321,,10,3.779423699947074,3.79174799984321,3.79174799984321,0.06202460010536015,6.919478799914941,[np.float64(-0.31333333333333335)],[np.float64(0.09166666666666666)],[1],[0],[0],[3.1400136000011116],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
3,0,3,[np.float64(-0.13666666666666666)],[np.float64(-0.255)],[1],[0],[0],[2.4831093000248075],['target'],3,0,3,0,6.94332249998115,,10,6.935606699902564,6.94332249998115,6.94332249998115,0.01603430020622909,9.418753099860623,[np.float64(-0.13666666666666666)],[np.float64(-0.255)],[1],[0],[0],[2.4831093000248075],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
4,0,4,[np.float64(0.48833333333333334)],[np.float64(0.275)],[1],[0],[0],[1.7220158001873642],['target'],4,0,4,0,9.436761599965394,,5,9.426759300054982,9.436761599965394,9.436761599965394,0.007910599932074547,11.148818699875847,[np.float64(0.48833333333333334)],[np.float64(0.275)],[1],[0],[0],[1.7220158001873642],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
5,0,5,[np.float64(-0.15)],[np.float64(-0.0033333333333333335)],[1],[0],[0],[3.0870511999819428],['target'],5,0,5,0,11.172425899887457,,10,11.164602699922398,11.172425899887457,11.172425899887457,0.01570469979196787,14.251709799980745,[np.float64(-0.15)],[np.float64(-0.0033333333333333335)],[1],[0],[0],[3.0870511999819428],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
6,0,6,[np.float64(0.32166666666666666)],[np.float64(0.32166666666666666)],[1],[0],[0],[1.9918886001687497],['target'],6,0,6,0,14.277355700032786,,10,14.266824699938297,14.277355700032786,14.277355700032786,0.015017799800261855,16.258740299846977,[np.float64(0.32166666666666666)],[np.float64(0.32166666666666666)],[1],[0],[0],[1.9918886001687497],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
7,0,7,[np.float64(-0.22333333333333333)],[np.float64(-0.4216666666666667)],[1],[0],[0],[2.1175239998847246],['target'],7,0,7,0,16.27738650003448,,5,16.266497500007972,16.27738650003448,16.27738650003448,0.007661599898710847,18.384078999981284,[np.float64(-0.22333333333333333)],[np.float64(-0.4216666666666667)],[1],[0],[0],[2.1175239998847246],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
8,0,8,[np.float64(0.26666666666666666)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.9361966999713331],['target'],8,0,8,0,18.402049999916926,,5,18.392447100020945,18.402049999916926,18.402049999916926,0.008254699874669313,20.32868200005032,[np.float64(0.26666666666666666)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.9361966999713331],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
9,0,9,[np.float64(-0.24)],[np.float64(0.22833333333333333)],[1],[0],[0],[2.4571811000350863],['target'],9,0,9,0,20.346556099830195,,5,20.33623560005799,20.346556099830195,20.346556099830195,0.007477900013327599,22.793455499922857,[np.float64(-0.24)],[np.float64(0.22833333333333333)],[1],[0],[0],[2.4571811000350863],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
10,0,10,[np.float64(-0.315)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.2356800001580268],['target'],10,0,10,0,22.811952099902555,,5,22.801184499869123,22.811952099902555,22.811952099902555,0.007652300177142024,24.036909699905664,[np.float64(-0.315)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.2356800001580268],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
11,0,11,[np.float64(-0.055)],[np.float64(0.04)],[1],[0],[0],[2.352562200045213],[None],11,0,11,0,24.054944399977103,,5,24.04490410001017,24.054944399977103,24.054944399977103,0.00791490008123219,26.397504899883643,[np.float64(-0.055)],[np.float64(0.04)],[1],[0],[0],[2.352562200045213],[None],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
12,0,12,[np.float64(-0.31)],[np.float64(-0.105)],[1],[0],[0],[1.770237300079316],['target'],12,0,12,0,26.415978899924085,,5,26.40555200004019,26.415978899924085,26.415978899924085,0.007972899824380875,28.175831399857998,[np.float64(-0.31)],[np.float64(-0.105)],[1],[0],[0],[1.770237300079316],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
13,0,13,[np.float64(-0.14333333333333334)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.4224656999576837],['target'],13,0,13,0,28.19406839995645,,5,28.183475399855524,28.19406839995645,28.19406839995645,0.007567800115793943,29.605978699866682,[np.float64(-0.14333333333333334)],[np.float64(0.03666666666666667)],[1],[0],[0],[1.4224656999576837],['target'],2,001,2025-10-01_15h33.34.386,untitled,,2025.1.1,142.36375067134384,2025-10-01 15h33.39.338950 +0530,
