reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,3.9386975999805145,None,0,0,0,2,0.17189750005491078,,0.1451008000294678,0.17189750005491078,1.0062271000351757,1.0062271000351757,1.1724135000258684,4.9813232000451535,l,3.9386975999805145,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,1,1,0,l,2.1123379000346176,None,0,1,1,0,5.005187800037675,,4.990532600029837,5.005187800037675,5.989081900042947,5.989081900042947,6.005719400011003,8.10967580002034,l,2.1123379000346176,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,2,2,0,t,1.7717266000108793,None,0,2,2,6,8.138947100029327,,8.120880800008308,8.138947100029327,9.1223284000298,9.1223284000298,9.138863900036085,10.909387600026093,t,1.7717266000108793,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,3,3,0,t,1.658652300015092,None,0,3,3,5,11.05480979999993,,11.024627300037537,11.05480979999993,11.92295340000419,11.92295340000419,12.055443000048399,13.593105700041633,t,1.658652300015092,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,4,4,0,l,0.9557396000018343,None,0,4,4,1,13.605876600020565,,13.59690970001975,13.605876600020565,14.605189700028859,14.605189700028859,14.605189700028859,15.576120800047647,l,0.9557396000018343,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,5,5,0,t,1.189903200021945,None,0,5,5,4,15.60469380003633,,15.583974700013641,15.60469380003633,16.588678400032222,16.588678400032222,16.605394700018223,17.792138000018895,t,1.189903200021945,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,6,6,0,t,1.2824061999563128,None,0,6,6,3,17.805272300029173,,17.796541400020942,17.805272300029173,18.806284500053152,18.806284500053152,18.806284500053152,20.092199000006076,t,1.2824061999563128,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,7,0,1,t,1.0520520999561995,None,1,0,7,5,20.105226700019557,,20.095769200008363,20.105226700019557,21.10528570000315,21.10528570000315,21.10528570000315,22.159068100037985,t,1.0520520999561995,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,8,1,1,t,1.715417500003241,None,1,1,8,2,22.171934300044086,,22.162657200009562,22.171934300044086,23.17192310001701,23.17192310001701,23.17192310001701,24.892234100028872,t,1.715417500003241,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,9,2,1,t,2.0847047999850474,None,1,2,9,6,24.904783900012262,,24.895977500011213,24.904783900012262,25.90533450001385,25.90533450001385,25.90533450001385,27.99170300003607,t,2.0847047999850474,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,10,3,1,l,2.9707306000054814,None,1,3,10,1,28.004711400019005,,27.996207700052764,28.004711400019005,29.004836400039494,29.004836400039494,29.004836400039494,31.99168540001847,l,2.9707306000054814,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,11,4,1,l,8.088779100042302,None,1,4,11,4,32.00431310001295,,31.99657560000196,32.00431310001295,33.0047849000548,33.0047849000548,33.0047849000548,41.10787950002123,l,8.088779100042302,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,12,5,1,t,1.3792909999610856,None,1,5,12,3,41.1207080000313,,41.11180970002897,41.1207080000313,42.12119840004016,42.12119840004016,42.12119840004016,43.50878410000587,t,1.3792909999610856,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,13,6,1,l,1.5639056999934837,None,1,6,13,0,43.520746000052895,,43.51457280002069,43.520746000052895,44.52076140005374,44.52076140005374,44.52076140005374,46.09097560000373,l,1.5639056999934837,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,14,0,2,t,2.186912500008475,None,2,0,14,6,46.10411200003,,46.09473780001281,46.10411200003,47.10408160003135,47.10408160003135,47.10408160003135,49.30757000000449,t,2.186912500008475,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,15,1,2,t,1.6055889999843203,None,2,1,15,3,49.321344700001646,,49.3124149000505,49.321344700001646,50.3215099000372,50.3215099000372,50.3215099000372,51.9408355000196,t,1.6055889999843203,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,16,2,2,t,0.6575561999925412,None,2,2,16,4,51.9536717000301,,51.944446000037715,51.9536717000301,52.95448840002064,52.95448840002064,52.95448840002064,53.62429260002682,t,0.6575561999925412,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,17,3,2,l,0.37739750003675,None,2,3,17,2,53.63696550001623,,53.62825340003474,53.63696550001623,54.63778300001286,54.63778300001286,54.63778300001286,55.023823800031096,l,0.37739750003675,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,18,4,2,t,0.6796262999996543,None,2,4,18,5,55.0365407000063,,55.02717220003251,55.0365407000063,56.037149400042836,56.037149400042836,56.037149400042836,56.722929700044915,t,0.6796262999996543,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,19,5,2,l,0.2551814999897033,None,2,5,19,1,56.7357698000269,,56.726415000041015,56.7357698000269,57.73597440001322,57.73597440001322,57.73597440001322,58.005596500006504,l,0.2551814999897033,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,20,6,2,t,1.3029224000056274,None,2,6,20,0,58.01898730004905,,58.00924250000389,58.01898730004905,59.01927730004536,59.01927730004536,59.01927730004536,60.3245357000269,t,1.3029224000056274,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,21,0,3,l,0.3746497000101954,None,3,0,21,2,60.336476500029676,,60.32958110002801,60.336476500029676,61.33698420005385,61.33698420005385,61.33698420005385,61.723408000019845,l,0.3746497000101954,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,22,1,3,l,0.254580500011798,None,3,1,22,3,61.73648660001345,,61.72719420003705,61.73648660001345,62.736811300041154,62.736811300041154,62.736811300041154,63.00694660004228,l,0.254580500011798,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,23,2,3,t,0.092061500006821,None,3,2,23,0,63.01977400004398,,63.01128860004246,63.01977400004398,64.01996040000813,64.01996040000813,64.01996040000813,64.12341310002375,t,0.092061500006821,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,24,3,3,l,0.2461670000338927,None,3,3,24,6,64.136118000024,,64.1270085000433,64.136118000024,65.13717430003453,65.13717430003453,65.13717430003453,65.39006940001855,l,0.2461670000338927,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,25,4,3,t,0.3321546000079252,None,3,4,25,4,65.40351640002336,,65.39365430001635,65.40351640002336,66.40366750000976,66.40366750000976,66.40366750000976,66.741158800025,t,0.3321546000079252,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,26,5,3,l,0.2540249000303447,None,3,5,26,1,66.7526103000273,,66.74537090002559,66.7526103000273,67.75332460005302,67.75332460005302,67.75332460005302,68.0237979000085,l,0.2540249000303447,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,27,6,3,t,0.21672149997903034,None,3,6,27,5,68.03615010000067,,68.02744140004506,68.03615010000067,69.03650660003768,69.03650660003768,69.03650660003768,69.25744350004243,t,0.21672149997903034,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,28,0,4,l,0.31040289998054504,None,4,0,28,1,69.2691789000528,,69.26131130004069,69.2691789000528,70.27024810004514,70.27024810004514,70.27024810004514,70.58967360004317,l,0.31040289998054504,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,29,1,4,t,0.2645038000191562,None,4,1,29,5,70.60258050000994,,70.59349910001038,70.60258050000994,71.60290720005287,71.60290720005287,71.60290720005287,71.87366850004764,t,0.2645038000191562,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,30,2,4,l,0.21116999996593222,None,4,2,30,2,71.886251500051,,71.87762630003272,71.886251500051,72.88652500003809,72.88652500003809,72.88652500003809,73.10630990000209,l,0.21116999996593222,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,31,3,4,t,0.21581460000015795,None,4,3,31,6,73.11946370004443,,73.10978730005445,73.11946370004443,74.1194687000243,74.1194687000243,74.1194687000243,74.33996720000869,t,0.21581460000015795,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,32,4,4,t,0.15533960005268455,None,4,4,32,3,74.35315229999833,,74.34346140001435,74.35315229999833,75.35337380005512,75.35337380005512,75.35337380005512,75.52331340004457,t,0.15533960005268455,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,33,5,4,t,1.2378530999994837,None,4,5,33,4,75.53645700000925,,75.52703700005077,75.53645700000925,76.53636740002548,76.53636740002548,76.53636740002548,77.7893973000464,t,1.2378530999994837,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,34,6,4,t,0.3751907999976538,None,4,6,34,0,77.80273900000611,,77.79336430004332,77.80273900000611,78.80255750002107,78.80255750002107,78.80255750002107,79.18922990001738,t,0.3751907999976538,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,35,0,5,t,0.034959300013724715,None,5,0,35,6,79.20266440004343,,79.19340160000138,79.20266440004343,80.20281840005191,80.20281840005191,80.20281840005191,80.24009930004831,t,0.034959300013724715,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,36,1,5,t,0.10443690000101924,None,5,1,36,1,80.2522843000479,,80.24388820002787,80.2522843000479,81.25301270000637,81.25301270000637,81.25301270000637,81.37316780001856,t,0.10443690000101924,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,37,2,5,t,0.05106790002901107,None,5,2,37,2,81.38549480005167,,81.37827190000098,81.38549480005167,82.38583360001212,82.38583360001212,82.38583360001212,82.43984190002084,t,0.05106790002901107,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,38,3,5,l,0.3065301000024192,None,5,3,38,3,82.45264100003988,,82.44352260004962,82.45264100003988,83.45233000000007,83.45233000000007,83.45233000000007,83.77332830004161,l,0.3065301000024192,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,39,4,5,t,1.1023060999577865,None,5,4,39,0,83.78604360000463,,83.77766700001666,83.78604360000463,84.78594210004667,84.78594210004667,84.78594210004667,85.8917704000487,t,1.1023060999577865,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,40,5,5,l,1.003468699986115,None,5,5,40,5,85.90249550004955,,85.89549800002715,85.90249550004955,86.90257279999787,86.90257279999787,86.90257279999787,87.92242509999778,l,1.003468699986115,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,41,6,5,l,0.5852765999734402,None,5,6,41,4,87.93545490002725,,87.92612600000575,87.93545490002725,88.93624760000966,88.93624760000966,88.93624760000966,89.52287430001888,l,0.5852765999734402,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,42,0,6,l,0.3373942000325769,None,6,0,42,2,89.53530610003509,,89.52662770001916,89.53530610003509,90.53530440002214,90.53530440002214,90.53530440002214,90.87374640000053,l,0.3373942000325769,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,43,1,6,l,0.27045809995615855,None,6,1,43,6,90.88609780004481,,90.8787086000084,90.88609780004481,91.88476530002663,91.88476530002663,91.88476530002663,92.17034350003814,l,0.27045809995615855,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,44,2,6,l,0.10023889999138191,None,6,2,44,5,92.18477400002303,,92.17234869999811,92.18477400002303,93.18616390001262,93.18616390001262,93.18616390001262,93.2890198000241,l,0.10023889999138191,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,45,3,6,l,0.36285539995878935,None,6,3,45,0,93.30274740001187,,93.2919486000319,93.30274740001187,94.3024454000406,94.3024454000406,94.3024454000406,94.67242640000768,l,0.36285539995878935,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
15,35,13,46,4,6,l,0.28496660001110286,None,6,4,46,1,94.68529760005185,,94.67637550004292,94.68529760005185,95.68518320005387,95.68518320005387,95.68518320005387,95.97341060003964,l,0.28496660001110286,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,47,5,6,t,13.086317600042094,None,6,5,47,4,95.9850609000423,,95.97746860003099,95.9850609000423,96.98522349999985,96.98522349999985,96.98522349999985,110.08771680004429,t,13.086317600042094,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,48,6,6,t,0.5730331999948248,None,6,6,48,3,110.1038111000089,,110.09356550005032,110.1038111000089,111.07864010002231,111.07864010002231,111.09907650004607,111.65673580003204,t,0.5730331999948248,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
67,75,119,49,0,7,l,0.24035430001094937,None,7,0,49,5,111.66163930000039,,111.65847950003808,111.66163930000039,112.64773270004662,112.64773270004662,112.6549080000259,112.89255030005006,l,0.24035430001094937,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
27,50,21,50,1,7,l,0.23664000001735985,None,7,1,50,2,112.89748210000107,,112.89461110002594,112.89748210000107,113.88384400005452,113.88384400005452,113.89095660002204,114.12187800003449,l,0.23664000001735985,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
49,60,89,51,2,7,t,0.15931439999258146,None,7,2,51,4,114.12678750004852,,114.12382700003218,114.12678750004852,115.11329940002179,115.11329940002179,115.1198798000114,115.27475229999982,t,0.15931439999258146,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
11,30,7,52,3,7,l,0.44405850005568936,None,7,3,52,0,115.27977200003807,,115.27656870003557,115.27977200003807,116.26585330005037,116.26585330005037,116.27267910004593,116.71228530001827,l,0.44405850005568936,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
78,80,162,53,4,7,t,0.221809700015001,None,7,4,53,6,116.71731400000863,,116.71406900003785,116.71731400000863,117.70354500005487,117.70354500005487,117.71059800003422,117.92788480001036,t,0.221809700015001,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
40,55,62,54,5,7,l,0.25751929997932166,None,7,5,54,3,117.93977210001322,,117.9297967000166,117.93977210001322,118.9186730000074,118.9186730000074,118.93265970004722,119.17749200004619,l,0.25751929997932166,None,1,001,2025-10-23_00h19.02.472,untitled,,2025.1.1,59.739440461466,2025-10-23 00h19.09.182987 +0530,
