word,word_type,color,stim_condition,correct_resp,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instr_text.started,Instructions.stopped,trial.started,fixation.started,fixation.stopped,word_stim.started,resp.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,Thanks.started,text.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0250021000392735,0.03849100001389161,2.0080251999897882,,,,,,,,,,,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Table,neutral,blue,I,b,0,0,0,b,1,0.9592221999773756,None,0,0,0,13,2.0542469000210986,,,,,2.039023899997119,2.0542469000210986,2.5048612999962643,2.5048612999962643,2.5048612999962643,3.4949879000196233,b,1,0.9592221999773756,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Abuse,emotional,red,C,r,1,1,0,r,1,0.6594920000061393,None,0,1,1,4,3.503190200019162,,,,,3.497879200032912,3.503190200019162,4.005191000003833,4.005191000003833,4.005191000003833,4.674533499986865,r,1,0.6594920000061393,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Pencil,neutral,green,I,g,2,2,0,g,1,1.0613488999661058,None,0,2,2,14,4.687906400009524,,,,,4.677380100009032,4.687906400009524,5.187994400039315,5.187994400039315,5.187994400039315,6.257481100037694,g,1,1.0613488999661058,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Bottle,neutral,yellow,I,y,3,3,0,y,1,0.5724980999948457,None,0,3,3,11,6.270909700018819,,,,,6.261348700034432,6.270909700018819,6.772064600023441,6.772064600023441,6.772064600023441,7.358219099987764,y,1,0.5724980999948457,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Pain,emotional,blue,I,b,4,4,0,b,1,0.9333626999869011,None,0,4,4,1,7.37152819999028,,,,,7.360824800038245,7.37152819999028,7.871480800036807,7.871480800036807,7.871480800036807,8.808719900029246,b,1,0.9333626999869011,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Road,neutral,green,I,g,5,5,0,g,1,0.6490700999856927,None,0,5,5,18,8.82139510003617,,,,,8.811192399996798,8.82139510003617,9.320637500029989,9.320637500029989,9.320637500029989,9.974842900002841,g,1,0.6490700999856927,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Window,neutral,red,I,r,6,6,0,r,1,0.7142380000441335,None,0,6,6,12,9.987852499994915,,,,,9.977480000001378,9.987852499994915,10.487211800005753,10.487211800005753,10.487211800005753,11.20775370002957,r,1,0.7142380000441335,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Anger,emotional,red,C,r,7,7,0,r,1,0.6496024000225589,None,0,7,7,8,11.220720000041183,,,,,11.210228800016921,11.220720000041183,11.72162580001168,11.72162580001168,11.72162580001168,12.374445600027684,r,1,0.6496024000225589,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
Violence,emotional,blue,I,b,8,8,0,b,1,0.9101721000042744,None,0,8,8,9,12.387141500017606,,,,,12.379280299996026,12.387141500017606,12.887580499984324,12.887580499984324,12.887580499984324,13.808219300000928,b,1,0.9101721000042744,None,,,,5,001,2025-11-19_00h57.30.606,emotional stroop_untitled,,2025.1.1,60.129904655169184,2025-11-19 00h57.36.210315 +0530,
