pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7856678999960423,None,0,0,0,0,,,,,0.024624000070616603,,0.01702670007944107,0.024624000070616603,0.9967465000227094,0.9967465000227094,0.9967465000227094,0.9967465000227094,1.0248641001526266,1.9951111001428217,1.9951111001428217,2.7872956001665443,x,1,0.7856678999960423,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
150,v,1,1,0,v,1,0.8834544999990612,None,0,1,1,1,,,,,2.7943397001363337,,2.7874982999637723,2.7943397001363337,3.781771200010553,3.781771200010553,3.781771200010553,3.781771200010553,3.78826200007461,4.787110600154847,4.787110600154847,5.672694599954411,v,1,0.8834544999990612,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
50,c,2,2,0,c,1,0.8805686999112368,None,0,2,2,2,,,,,5.677868800004944,,5.672867299988866,5.677868800004944,6.662895000074059,6.662895000074059,6.662895000074059,6.662895000074059,6.6709406999871135,7.6701726000756025,7.6701726000756025,8.55318500008434,c,1,0.8805686999112368,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
-150,z,3,3,0,z,1,0.42708200006745756,None,0,3,3,3,,,,,8.559347100090235,,8.553354199975729,8.559347100090235,9.551097300136462,9.551097300136462,9.551097300136462,9.551097300136462,9.559678100049496,10.543951299972832,10.543951299972832,10.978286599973217,z,1,0.42708200006745756,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
-50,x,4,0,1,x,1,0.7355316001921892,None,1,0,4,0,,,,,10.983140100026503,,10.978457200108096,10.983140100026503,11.97463329997845,11.97463329997845,11.97463329997845,11.97463329997845,11.97463329997845,12.96776260016486,12.96776260016486,13.705762600060552,x,1,0.7355316001921892,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
150,v,5,1,1,v,1,0.8855034001171589,None,1,1,5,1,,,,,13.712492200080305,,13.705932999961078,13.712492200080305,14.698278099996969,14.698278099996969,14.698278099996969,14.698278099996969,14.705367000075057,15.698316799942404,15.698316799942404,16.58960200008005,v,1,0.8855034001171589,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
50,c,6,2,1,c,1,1.0580259000416845,None,1,2,6,2,,,,,16.599710300099105,,16.589777800021693,16.599710300099105,17.580271000042558,17.580271000042558,17.580271000042558,17.580271000042558,17.594104800140485,18.580272400053218,18.580272400053218,19.64455490000546,c,1,1.0580259000416845,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
-150,z,7,3,1,z,1,0.4694336000829935,None,1,3,7,3,,,,,19.649584700120613,,19.644726400030777,19.649584700120613,20.635974900098518,20.635974900098518,20.635974900098518,20.635974900098518,20.642477600136772,21.64196170005016,21.64196170005016,22.117207000032067,z,1,0.4694336000829935,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
-50,x,8,0,2,x,1,0.6043857999611646,None,2,0,8,0,,,,,22.12742320005782,,22.117374800145626,22.12742320005782,23.108072499977425,23.108072499977425,23.108072499977425,23.108072499977425,23.121159400092438,24.108206700067967,24.108206700067967,24.71437119995244,x,1,0.6043857999611646,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
150,v,9,1,2,v,1,0.758975800126791,None,2,1,9,1,,,,,24.71941480017267,,24.71453949995339,24.71941480017267,25.705267100129277,25.705267100129277,25.705267100129277,25.705267100129277,25.712355100084096,26.70524789998308,26.70524789998308,27.47179330000654,v,1,0.758975800126791,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
50,c,10,2,2,c,1,0.6693887000437826,None,2,2,10,2,,,,,27.481907200068235,,27.471958399983123,27.481907200068235,28.462460600072518,28.462460600072518,28.462460600072518,28.462460600072518,28.483516599982977,29.46217230008915,29.46217230008915,30.136759800137952,c,1,0.6693887000437826,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
-150,z,11,3,2,z,1,0.5992511000949889,None,2,3,11,3,,,,,30.14284830004908,,30.136984599987045,30.14284830004908,31.127690199995413,31.127690199995413,31.127690199995413,31.127690199995413,31.13509190012701,32.12914860015735,32.12914860015735,32.73431279999204,z,1,0.5992511000949889,None,,,,,2,001,2025-10-05_16h18.37.424,untitled,,2025.1.1,143.88302863237456,2025-10-05 16h18.43.575357 +0530,
